"","Index","Age","Gender","Education","Country","Ethnicity","Nscore","Escore","Oscore","Ascore","Cscore","Impulsive","SS","Alcohol","Amphet","Amyl","Benzos","Caff","Cannabis","Choc","Coke","Crack","Ecstasy","Heroin","Ketamine","Legalh","LSD","Meth","Mushrooms","Nicotine","Semer","VSA"
"1526",1526,"18-24","Female","University degree","UK","White",-1.86962,1.93886,0.58331,-1.47955,0.12331,1.29221,1.92173,"Used in Last Day","Never Used","Used in Last Decade","Never Used","Used in Last Day","Used in Last Day","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Never Used"
"1527",1527,"18-24","Male","Some college or university, no certificate or degree","USA","White",-1.55078,0.96248,1.65653,-0.01729,-0.14277,1.29221,0.7654,"Used in Last Week","Used in Last Day","Used in Last Decade","Used in Last Week","Used in Last Day","Used in Last Day","Used in Last Day","Used in Last Month","Used in Last Year","Used in Last Month","Never Used","Used in Last Year","Used in Last Week","Used in Last Month","Never Used","Used in Last Year","Used in Last Day","Never Used","Used in Last Month"
"1528",1528,"18-24","Male","Left school before 16 years","New Zealand","White",-1.1943,-0.94779,1.06238,1.2861,-0.52745,0.88113,1.2247,"Used in Last Year","Never Used","Never Used","Used in Last Decade","Used in Last Day","Used in Last Month","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Year","Used in Last Month","Never Used","Used in Last Week","Used in Last Decade","Never Used","Used over a Decade Ago"
"1529",1529,"25-34","Female","University degree","USA","Not Provided",-0.14882,0.96248,1.24033,0.76096,-0.27607,-0.21712,0.07987,"Used in Last Week","Used in Last Day","Used in Last Month","Used in Last Month","Used in Last Day","Used in Last Day","Used in Last Day","Used in Last Year","Never Used","Used in Last Decade","Never Used","Never Used","Used in Last Day","Used in Last Year","Never Used","Used in Last Year","Used in Last Day","Never Used","Never Used"
"1530",1530,"18-24","Male","Some college or university, no certificate or degree","USA","White",1.02119,-1.7625,0.58331,-0.15487,-2.57309,0.88113,-0.21575,"Used in Last Week","Used in Last Year","Never Used","Used in Last Year","Used in Last Week","Used in Last Month","Used in Last Month","Used in Last Year","Used in Last Year","Used in Last Month","Used in Last Decade","Never Used","Used in Last Month","Used in Last Year","Used in Last Year","Used in Last Year","Used in Last Day","Never Used","Used in Last Decade"
"1531",1531,"18-24","Male","Some college or university, no certificate or degree","USA","Not Provided",-0.92104,1.2861,-0.45174,-0.60633,-0.00665,0.88113,1.2247,"Used in Last Week","Never Used","Never Used","Never Used","Used in Last Day","Used in Last Year","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Year","Never Used","Never Used","Never Used","Used in Last Year","Never Used","Never Used"
"1532",1532,"25-34","Male","Left school at 18 years","Australia","White",0.04257,0.32197,-0.97631,0.28783,-0.65253,-0.71126,0.7654,"Used in Last Day","Used in Last Week","Used in Last Month","Used in Last Year","Used in Last Week","Used in Last Week","Used in Last Day","Used in Last Year","Never Used","Used in Last Month","Never Used","Used in Last Decade","Used in Last Year","Used in Last Decade","Used in Last Day","Never Used","Used in Last Week","Never Used","Never Used"
"1533",1533,"35-44","Female","Some college or university, no certificate or degree","Republic of Ireland","White",0.31287,0.00332,-0.84732,-0.60633,-0.52745,-0.71126,0.07987,"Used in Last Week","Used in Last Year","Used in Last Decade","Never Used","Used in Last Day","Used in Last Month","Used in Last Week","Used in Last Year","Never Used","Used in Last Month","Never Used","Used in Last Year","Used in Last Year","Used over a Decade Ago","Never Used","Used over a Decade Ago","Used in Last Week","Never Used","Used over a Decade Ago"
"1534",1534,"18-24","Female","Some college or university, no certificate or degree","USA","Not Provided",-0.46725,0.80523,0.29338,2.03972,1.81175,-1.37983,-0.21575,"Used in Last Week","Used in Last Day","Never Used","Used in Last Month","Used in Last Day","Used in Last Year","Used in Last Day","Used in Last Month","Never Used","Used in Last Month","Never Used","Used in Last Month","Used in Last Year","Used in Last Decade","Never Used","Used in Last Year","Used in Last Month","Used in Last Month","Used in Last Year"
"1535",1535,"18-24","Female","Some college or university, no certificate or degree","USA","White",0.13606,-0.94779,-1.11902,0.43852,-1.13788,-0.71126,0.7654,"Used in Last Week","Never Used","Never Used","Never Used","Used in Last Day","Used in Last Week","Used in Last Month","Used in Last Year","Never Used","Used in Last Year","Never Used","Never Used","Used in Last Week","Used in Last Month","Never Used","Used in Last Year","Used in Last Month","Never Used","Never Used"
"1536",1536,"18-24","Female","Some college or university, no certificate or degree","USA","Not Provided",0.04257,1.74091,-0.58331,-0.45321,2.33337,0.88113,1.92173,"Used in Last Month","Never Used","Never Used","Never Used","Used in Last Week","Never Used","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
"1537",1537,"18-24","Male","Some college or university, no certificate or degree","USA","White",1.13281,-0.69509,0.88309,0.94156,-0.89891,1.29221,0.7654,"Used in Last Day","Used in Last Year","Used in Last Year","Used in Last Month","Used in Last Day","Used in Last Week","Used in Last Month","Used in Last Year","Used in Last Year","Used in Last Year","Used in Last Year","Used in Last Year","Used in Last Month","Used in Last Year","Used in Last Year","Used in Last Month","Used in Last Day","Never Used","Used in Last Decade"
"1538",1538,"18-24","Female","Some college or university, no certificate or degree","USA","White",0.62967,-0.15487,1.88511,1.45039,0.12331,0.88113,-0.84637,"Used in Last Day","Never Used","Never Used","Never Used","Used in Last Week","Used in Last Day","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Used in Last Decade","Used in Last Year","Used in Last Month","Never Used","Used in Last Year","Used in Last Day","Never Used","Never Used"
"1539",1539,"18-24","Male","Some college or university, no certificate or degree","USA","White",-1.55078,1.2861,-0.97631,0.43852,0.93949,0.19268,1.92173,"Used in Last Day","Used in Last Day","Never Used","Never Used","Used in Last Day","Used in Last Day","Used in Last Day","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Used in Last Month","Used in Last Year","Never Used","Used in Last Month","Used in Last Day","Never Used","Never Used"
"1540",1540,"25-34","Male","Some college or university, no certificate or degree","USA","White",0.82562,-3.00537,0.29338,-1.34289,-2.04506,0.88113,0.7654,"Used in Last Day","Used in Last Year","Never Used","Used in Last Month","Used in Last Month","Used in Last Day","Used in Last Week","Used in Last Decade","Used in Last Decade","Used in Last Decade","Used in Last Week","Used in Last Decade","Used in Last Day","Used in Last Year","Used in Last Year","Used in Last Month","Used in Last Year","Never Used","Used in Last Decade"
"1541",1541,"18-24","Male","Some college or university, no certificate or degree","UK","White",-0.14882,-0.43999,-0.71727,-0.76096,-1.64101,1.29221,0.7654,"Used in Last Month","Used in Last Decade","Never Used","Never Used","Used in Last Week","Used in Last Month","Used in Last Day","Used in Last Decade","Never Used","Used in Last Decade","Never Used","Used in Last Year","Used in Last Week","Never Used","Never Used","Used in Last Decade","Used in Last Decade","Never Used","Never Used"
"1542",1542,"18-24","Male","Some college or university, no certificate or degree","USA","White",0.82562,0.80523,0.88309,0.59042,-0.78155,0.19268,0.07987,"Used in Last Month","Used in Last Month","Never Used","Used in Last Month","Used in Last Day","Used in Last Day","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Year","Used in Last Year","Never Used","Used in Last Year","Used in Last Day","Never Used","Never Used"
"1543",1543,"18-24","Female","Some college or university, no certificate or degree","USA","White",1.02119,-0.94779,0.88309,0.13136,-0.14277,-0.71126,0.40148,"Used in Last Year","Never Used","Never Used","Never Used","Used in Last Day","Used in Last Day","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
"1544",1544,"18-24","Male","Left school at 18 years","USA","Not Provided",-0.24649,-1.92173,0.29338,-0.60633,-1.13788,0.52975,0.40148,"Used in Last Year","Never Used","Never Used","Never Used","Used in Last Day","Used in Last Month","Used in Last Month","Never Used","Never Used","Used in Last Month","Never Used","Never Used","Used in Last Year","Used in Last Month","Never Used","Used in Last Year","Used in Last Decade","Never Used","Never Used"
"1545",1545,"18-24","Female","Some college or university, no certificate or degree","USA","White",1.49158,0.16767,0.88309,-0.01729,0.58489,0.52975,0.7654,"Used in Last Year","Used in Last Year","Never Used","Used in Last Decade","Used in Last Week","Used in Last Day","Used in Last Day","Never Used","Never Used","Used in Last Year","Never Used","Never Used","Never Used","Used in Last Year","Never Used","Used in Last Year","Never Used","Never Used","Never Used"
"1546",1546,"25-34","Male","University degree","UK","White",-1.1943,-0.57545,-1.68062,0.28783,1.30612,-1.37983,-0.84637,"Used in Last Week","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Decade","Never Used","Never Used"
"1547",1547,"25-34","Female","Masters degree","UK","White",-0.67825,-0.94779,0.58331,0.28783,1.30612,-0.71126,-0.84637,"Used in Last Week","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used in Last Month","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used over a Decade Ago","Never Used","Never Used"
"1548",1548,"25-34","Female","Professional certificate/diploma","UK","White",-0.46725,0.00332,-1.11902,0.28783,-0.00665,0.19268,-0.52593,"Used in Last Day","Used in Last Decade","Never Used","Never Used","Used in Last Day","Used in Last Decade","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Never Used"
"1549",1549,"55-64","Female","Professional certificate/diploma","UK","White",0.41667,-1.50796,-1.82919,-0.91699,-0.40581,-1.37983,-2.07848,"Used in Last Year","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used in Last Year","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used over a Decade Ago","Never Used","Never Used"
"1550",1550,"45-54","Female","Some college or university, no certificate or degree","UK","White",-0.14882,-0.94779,-1.27553,-0.60633,0.41594,-0.21712,0.07987,"Used in Last Day","Never Used","Never Used","Never Used","Used in Last Day","Used over a Decade Ago","Used in Last Month","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used over a Decade Ago","Used over a Decade Ago","Never Used","Never Used"
"1551",1551,"45-54","Female","Professional certificate/diploma","UK","White",-0.58016,-0.57545,-1.27553,0.94156,0.93949,-1.37983,-2.07848,"Used in Last Day","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
"1552",1552,"18-24","Male","Some college or university, no certificate or degree","UK","White",-0.05188,-2.32338,-0.84732,-1.772,-0.40581,1.29221,-0.21575,"Used in Last Day","Never Used","Never Used","Never Used","Used in Last Day","Used in Last Decade","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Year","Never Used","Used in Last Decade"
"1553",1553,"25-34","Male","Masters degree","UK","White",-1.55078,1.11406,-0.01928,-0.01729,1.46191,0.19268,0.07987,"Used in Last Week","Never Used","Never Used","Never Used","Used in Last Day","Used in Last Decade","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Month","Never Used","Never Used","Never Used","Used in Last Month","Never Used","Never Used"
"1554",1554,"18-24","Female","Masters degree","UK","White",0.31287,0.80523,-0.97631,0.28783,0.25953,-0.21712,0.40148,"Used in Last Day","Never Used","Never Used","Used in Last Year","Used in Last Day","Used in Last Year","Used in Last Month","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Never Used"
"1555",1555,"25-34","Female","Some college or university, no certificate or degree","UK","White",-1.32828,1.58487,-0.58331,1.61108,1.13407,0.19268,-0.21575,"Used in Last Week","Never Used","Never Used","Never Used","Used in Last Day","Used in Last Decade","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
